Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Lin C., He Y.",Joint sentiment/topic model for sentiment analysis,2009,"International Conference on Information and Knowledge Management, Proceedings",337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-74849120851&doi=10.1145%2f1645953.1646003&partnerID=40&md5=47a8daca03a9c656506b7c9fa827ec4a,"Sentiment analysis or opinion mining aims to use automated tools to detect subjective information such as opinions, attitudes, and feelings expressed in text. This paper proposes a novel probabilistic modeling framework based on Latent Dirichlet Allocation (LDA), called joint sentiment/topic model (JST), which detects sentiment and topic simultaneously from text. Unlike other machine learning approaches to sentiment classification which often require labeled corpora for classifier training, the proposed JST model is fully unsupervised. The model has been evaluated on the movie review dataset to classify the review sentiment polarity and minimum prior information have also been explored to further improve the sentiment classification accuracy. Preliminary experiments have shown promising results achieved by JST. Copyright 2009 ACM.",Joint sentiment/topic model; Latent dirichlet allocation; Opinion mining; Sentiment analysis,Automated tools; Classifier training; Data sets; Latent Dirichlet allocation; Latent dirichlet allocations; Machine-learning; Opinion mining; Prior information; Probabilistic modeling; Sentiment analysis; Sentiment classification; Subjective information; Knowledge management; Classification (of information),2-s2.0-74849120851
"Nasukawa T., Yi J.",Sentiment analysis: Capturing favorability using natural language processing,2003,"Proceedings of the 2nd International Conference on Knowledge Capture, K-CAP 2003",326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015588279&doi=10.1145%2f945645.945659&partnerID=40&md5=c6538aa3ff5053d5c68901d7f946df07,"This paper illustrates a sentiment analysis approach to extract sentiments associated with polarities of positive or negative for specific subjects from a document, instead of classifying the whole document into positive or negative. The essential issues in sentiment analysis are to identify how sentiments are expressed in texts and whether the expressions indicate positive (favorable) or negative (unfavorable) opinions toward the subject. In order to improve the accuracy of the sentiment analysis, it is important to properly identify the semantic relationships between the sentiment expressions and the subject. By applying semantic analysis with a syntactic parser and sentiment lexicon, our prototype system achieved high precision (75-95%, depending on the data) in finding sentiments within Web pages and news articles. Copyright 2003 ACM.",Favorability analysis; Information extraction; Sentiment analysis; Text mining,Data mining; Information retrieval; Semantics; Syntactics; Websites; Favorability analysis; Prototype system; Semantic analysis; Semantic relationships; Sentiment analysis; Sentiment lexicons; Syntactic parsers; Text mining; Natural language processing systems,2-s2.0-85015588279
"Ghose A., Ipeirotis P.G.",Estimating the helpfulness and economic impact of product reviews: Mining text and reviewer characteristics,2011,IEEE Transactions on Knowledge and Data Engineering,321,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051798115&doi=10.1109%2fTKDE.2010.188&partnerID=40&md5=8fa42870bbff6776a1412b5587d0c886,"With the rapid growth of the Internet, the ability of users to create and publish content has created active electronic communities that provide a wealth of product information. However, the high volume of reviews that are typically published for a single product makes harder for individuals as well as manufacturers to locate the best reviews and understand the true underlying quality of a product. In this paper, we reexamine the impact of reviews on economic outcomes like product sales and see how different factors affect social outcomes such as their perceived usefulness. Our approach explores multiple aspects of review text, such as subjectivity levels, various measures of readability and extent of spelling errors to identify important text-based features. In addition, we also examine multiple reviewer-level features such as average usefulness of past reviews and the self-disclosed identity measures of reviewers that are displayed next to a review. Our econometric analysis reveals that the extent of subjectivity, informativeness, readability, and linguistic correctness in reviews matters in influencing sales and perceived usefulness. Reviews that have a mixture of objective, and highly subjective sentences are negatively associated with product sales, compared to reviews that tend to include only subjective or only objective information. However, such reviews are rated more informative (or helpful) by other users. By using Random Forest-based classifiers, we show that we can accurately predict the impact of reviews on sales and their perceived usefulness. We examine the relative importance of the three broad feature categories: reviewer-related features, review subjectivity features, and review readability features, and find that using any of the three feature sets results in a statistically equivalent performance as in the case of using all available features. This paper is the first study that integrates econometric, text mining, and predictive modeling techniques toward a more complete analysis of the information captured by user-generated online reviews in order to estimate their helpfulness and economic impact. © 2011 IEEE.",economics; Internet commerce; online communities; product reviews; sentiment analysis; social media; textmining; user-generated content; word-of-mouth,Online communities; Product reviews; Sentiment analysis; Social media; Text-mining; User-generated content; word-of-mouth; Data mining; Decision trees; Internet; Natural language processing systems; Sales; Telecommunication networks; Economic and social effects,2-s2.0-80051798115
"Hong L., Davison B.D.",Empirical study of topic modeling in Twitter,2010,SOMA 2010 - Proceedings of the 1st Workshop on Social Media Analytics,320,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956000165&doi=10.1145%2f1964858.1964870&partnerID=40&md5=2b779a8d658f4a67421d5227ce44ad7a,"Social networks such as Facebook, LinkedIn, and Twitter have been a crucial source of information for a wide spectrum of users. In Twitter, popular information that is deemed important by the community propagates through the network. Studying the characteristics of content in the messages becomes important for a number of tasks, such as breaking news detection, personalized message recommendation, friends recommendation, sentiment analysis and others. While many researchers wish to use standard text mining tools to understand messages on Twitter, the restricted length of those messages prevents them from being employed to their full potential. We address the problem of using standard topic models in microblogging environments by studying how the models can be trained on the dataset. We propose several schemes to train a standard topic model and compare their quality and effectiveness through a set of carefully designed experiments from both qualitative and quantitative perspectives. We show that by training a topic model on aggregated messages we can obtain a higher quality of learned model which results in significantly better performance in two realworld classification problems. We also discuss how the state-of-the-art Author-Topicmodel fails to model hierarchical relationships between entities in Social Media. Copyright 2010 ACM.",Social media; Topic models; Twitter,Data sets; Designed experiments; Empirical studies; Facebook; Microblogging; Personalized messages; Relationships between entities; Sentiment analysis; Social media; Social Networks; Text mining; Topic model; Topic models; Twitter; Wide spectrum; Models; Standards; Social networking (online),2-s2.0-79956000165
"Maas A.L., Daly R.E., Pham P.T., Huang D., Ng A.Y., Potts C.",Learning word vectors for sentiment analysis,2011,ACL-HLT 2011 - Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies,316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859023447&partnerID=40&md5=85ef514569a2fbc199f994fe946a6c17,"Unsupervised vector-based approaches to semantics can model rich lexical meanings, but they largely fail to capture sentiment information that is central to many word meanings and important for a wide range of NLP tasks. We present a model that uses a mix of unsupervised and supervised techniques to learn word vectors capturing semantic term-document information as well as rich sentiment content. The proposed model can leverage both continuous and multi-dimensional sentiment information as well as non-sentiment annotations. We instantiate the model to utilize the document-level sentiment polarity annotations present in many online documents (e.g. star ratings). We evaluate the model using small, widely used sentiment and subjectivity corpora and find it out-performs several previously introduced methods for sentiment classification. We also introduce a large dataset of movie reviews to serve as a more robust benchmark for work in this area. © 2011 Association for Computational Linguistics.",,Data sets; On-line documents; Sentiment analysis; Sentiment classification; Word meaning; Computational linguistics; Semantics,2-s2.0-84859023447
"Thelwall M., Buckley K., Paltoglou G.",Sentiment in Twitter events,2011,Journal of the American Society for Information Science and Technology,314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78951494937&doi=10.1002%2fasi.21462&partnerID=40&md5=1d1271dc189356bf546c333e7135d626,"The microblogging site Twitter generates a constant stream of communication, some of which concerns events of general interest. An analysis of Twitter may, therefore, give insights into why particular events resonate with the population. This article reports a study of a month of English Twitter posts, assessing whether popular events are typically associated with increases in sentiment strength, as seems intuitively likely. Using the top 30 events, determined by a measure of relative increase in (general) term usage, the results give strong evidence that popular events are normally associated with increases in negative sentiment strength and some evidence that peaks of interest in events have stronger positive sentiment than the time before the peak. It seems that many positive events, such as the Oscars, are capable of generating increased negative sentiment in reaction to them. Nevertheless, the surprisingly small average change in sentiment associated with popular events (typically 1% and only 6% for Tiger Woods' confessions) is consistent with events affording posters opportunities to satisfy pre-existing personal goals more often than eliciting instinctive reactions. © 2010 ASIS&T.",,Microblogging; Negative sentiments; Sentiment strengths; Tiger woods; Social networking (online),2-s2.0-78951494937
Kim Y.,Convolutional neural networks for sentence classification,2014,"EMNLP 2014 - 2014 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",309,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961376850&partnerID=40&md5=af3a7e49de3eb9aa7ade8039c77b45c6,"We report on a series of experiments with convolutional neural networks (CNN) trained on top of pre-trained word vectors for sentence-level classification tasks. We show that a simple CNN with little hyperparameter tuning and static vectors achieves excellent results on multiple benchmarks. Learning task-specific vectors through fine-tuning offers further gains in performance. We additionally propose a simple modification to the architecture to allow for the use of both task-specific and static vectors. The CNN models discussed herein improve upon the state of the art on 4 out of 7 tasks, which include sentiment analysis and question classification. © 2014 Association for Computational Linguistics.",,Convolution; Natural language processing systems; Neural networks; Classification tasks; Convolutional neural network; Hyper-parameter; Question classification; Sentence classifications; Sentiment analysis; Simple modifications; State of the art; Vectors,2-s2.0-84961376850
"Thelwall M., Buckley K., Paltoglou G.",Sentiment strength detection for the social web,2012,Journal of the American Society for Information Science and Technology,299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655167217&doi=10.1002%2fasi.21662&partnerID=40&md5=946ccfd0103c7ba76a521399986a4e70,"Sentiment analysis is concerned with the automatic extraction of sentiment-related information from text. Although most sentiment analysis addresses commercial tasks, such as extracting opinions from product reviews, there is increasing interest in the affective dimension of the social web, and Twitter in particular. Most sentiment analysis algorithms are not ideally suited to this task because they exploit indirect indicators of sentiment that can reflect genre or topic instead. Hence, such algorithms used to process social web texts can identify spurious sentiment patterns caused by topics rather than affective phenomena. This article assesses an improved version of the algorithm SentiStrength for sentiment strength detection across the social web that primarily uses direct indications of sentiment. The results from six diverse social web data sets (MySpace, Twitter, YouTube, Digg, Runners World, BBC Forums) indicate that SentiStrength 2 is successful in the sense of performing better than a baseline approach for all data sets in both supervised and unsupervised cases. SentiStrength is not always better than machine-learning approaches that exploit indirect indicators of sentiment, however, and is particularly weaker for positive sentiment in news-related discussions. Overall, the results suggest that, even unsupervised, SentiStrength is robust enough to be applied to a wide variety of different social web contexts. © 2011 ASIS&T.",,Automatic extraction; Data sets; Machine-learning; Product reviews; Sentiment analysis; Web data; YouTube; Data mining; Social networking (online); Algorithms,2-s2.0-83655167217
"Jo Y., Oh A.",Aspect and sentiment unification model for online review analysis,2011,"Proceedings of the 4th ACM International Conference on Web Search and Data Mining, WSDM 2011",288,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952432020&doi=10.1145%2f1935826.1935932&partnerID=40&md5=df204cb349845184a0132a1147b55c65,"User-generated reviews on the Web contain sentiments about detailed aspects of products and services. However, most of the reviews are plain text and thus require much effort to obtain information about relevant details. In this paper, we tackle the problem of automatically discovering what aspects are evaluated in reviews and how sentiments for different aspects are expressed. We first propose Sentence-LDA (SLDA), a probabilistic generative model that assumes all words in a single sentence are generated from one aspect. We then extend SLDA to Aspect and Sentiment Unification Model (ASUM), which incorporates aspect and sentiment together to model sentiments toward different aspects. ASUM discovers pairs of {aspect, sentiment} which we call senti-aspects. We applied SLDA and ASUM to reviews of electronic devices and restaurants. The results show that the aspects discovered by SLDA match evaluative details of the reviews, and the senti-aspects found by ASUM capture important aspects that are closely coupled with a sentiment. The results of sentiment classification show that ASUM outperforms other generative models and comes close to supervised classification methods. One important advantage of ASUM is that it does not require any sentiment labels of the reviews, which are often expensive to obtain. Copyright 2011 ACM.",Aspect detection; Sentiment analysis; Topic modeling,Aspect detection; Electronic device; Generative model; Plain text; Products and services; Sentiment analysis; Sentiment classification; Supervised classification; Topic modeling; Classification (of information); Data mining; Information retrieval; World Wide Web,2-s2.0-79952432020
Feldman R.,Techniques and applications for sentiment analysis: The main applications and challenges of one of the hottest research areas in computer science,2013,Communications of the ACM,287,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875706201&doi=10.1145%2f2436256.2436274&partnerID=40&md5=9c7c106c671b172f87e92e2813f12cd2,"The decision-making process of people is affected by the opinions formed by thought leaders and ordinary people. When a person wants to buy a product online he or she will typically start by searching for reviews and opinions written by other people on the various offerings. Sentiment analysis is one of the hottest research areas in computer science. The heating and air conditioning functioned well; this was good as the weather was variable. The king size bed was very comfortable. The building and rooms are very well soundproofed. The neighborhood is the best for shopping, restaurants, and access to subway. The documents in this corpus are converted to text and are pre-processed using a variety of linguistic tools such as stemming, tokenization, part of speech tagging, entity extraction, and relation extraction. The system may also utilize a set of lexicons and linguistic resources. The main component of the system is the document analysis module, which utilizes the linguistic resources to annotate the pre-processed documents with sentiment annotations.",,Decision making process; Document analysis; Entity extractions; Linguistic resources; Part of speech tagging; Relation extraction; Sentiment analysis; Thought leaders; Computer science; Linguistics; Data mining,2-s2.0-84875706201
"Jiang L., Yu M., Zhou M., Liu X., Zhao T.",Target-dependent Twitter sentiment classification,2011,ACL-HLT 2011 - Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies,287,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83055184650&partnerID=40&md5=4fa41907cad398b61cbfa585bef3454a,"Sentiment analysis on Twitter data has attracted much attention recently. In this paper, we focus on target-dependent Twitter sentiment classification; namely, given a query, we classify the sentiments of the tweets as positive, negative or neutral according to whether they contain positive, negative or neutral sentiments about that query. Here the query serves as the target of the sentiments. The state-of-the-art approaches for solving this problem always adopt the target-independent strategy, which may assign irrelevant sentiments to the given target. Moreover, the state-of-the-art approaches only take the tweet to be classified into consideration when classifying the sentiment; they ignore its context (i.e., related tweets). However, because tweets are usually short and more ambiguous, sometimes it is not enough to consider only the current tweet for sentiment classification. In this paper, we propose to improve target-dependent Twitter sentiment classification by 1) incorporating target-dependent features; and 2) taking related tweets into consideration. According to the experimental results, our approach greatly improves the performance of target-dependent sentiment classification. © 2011 Association for Computational Linguistics.",,Sentiment analysis; Sentiment classification; State-of-the-art approach; Computational linguistics; Social networking (online),2-s2.0-83055184650
"Semyonov M., Raijman R., Gorodzeisky A.","The rise of anti-foreigner sentiment in European societies, 1988-2000",2006,American Sociological Review,287,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746558651&partnerID=40&md5=9c9d735785c7fb595a10aee38fa14414,"The study examines change over time in sentiments toward out-group populations in European societies. For this purpose data were compiled from four waves of the Eurobarometer surveys for 12 countries that provided detailed and comparable information on attitudes toward foreigners between 1988 and 2000. A series of multilevel hierarchical linear models were estimated to examine change in the effects of individual- and country-level sources of threat on anti-foreigner sentiment. The analysis shows a substantial rise in anti-foreigner sentiment between 1988 and 2000 in all 12 countries. The rise in anti-foreigner sentiment was steep in the early period (between 1988 and 1994), then leveled off after that. Although anti-foreigner sentiment tends to be more pronounced in places with a large proportion of foreign populations and where economic conditions are less prosperous, the effects of both factors on anti-foreigner sentiment have not changed over time. The analysis also shows that anti-foreigner sentiment is more pronounced in places with greater support for right-wing extreme parties. The impact of individual-level socioeconomic characteristics such as education has remained stable over the years, but the effect of political ideology has increased. The meaning and significance of the findings are discussed within the context of European societies.",,antisocial behavior; attitudinal survey; political ideology; social history; socioeconomic impact; Eurasia; Europe,2-s2.0-33746558651
